"Process ID","Process Name","Host Name","Kernel Name","Block Size","Grid Size","Device","CC","Invocations","Section Name","Metric Name","Metric Unit","Minimum","Maximum","Average"
"92899","test_paper_bench","127.0.0.1","matvec_tiled_dot_kernel(const double *, double *, const bool *, int, int, int, int, double, double, double, double, double *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","Launch Statistics","Driver Shared Memory Per Block","Kbyte/block","1.02","1.02","1.02"
"92899","test_paper_bench","127.0.0.1","matvec_tiled_dot_kernel(const double *, double *, const bool *, int, int, int, int, double, double, double, double, double *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","Launch Statistics","Dynamic Shared Memory Per Block","byte/block","0.00","0.00","0.00"
"92899","test_paper_bench","127.0.0.1","matvec_tiled_dot_kernel(const double *, double *, const bool *, int, int, int, int, double, double, double, double, double *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","Launch Statistics","Static Shared Memory Per Block","Kbyte/block","17.00","17.00","17.00"
"92899","test_paper_bench","127.0.0.1","matvec_tiled_dot_kernel(const double *, double *, const bool *, int, int, int, int, double, double, double, double, double *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","Launch Statistics","Threads","thread","65,536.00","65,536.00","65,536.00"
"92899","test_paper_bench","127.0.0.1","matvec_tiled_dot_kernel(const double *, double *, const bool *, int, int, int, int, double, double, double, double, double *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","Launch Statistics","Waves Per SM","","0.52","0.52","0.52"
"92899","test_paper_bench","127.0.0.1","matvec_tiled_dot_kernel(const double *, double *, const bool *, int, int, int, int, double, double, double, double, double *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","Occupancy","Block Limit SM","block","16.00","16.00","16.00"
"92899","test_paper_bench","127.0.0.1","matvec_tiled_dot_kernel(const double *, double *, const bool *, int, int, int, int, double, double, double, double, double *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","Occupancy","Block Limit Registers","block","4.00","4.00","4.00"
"92899","test_paper_bench","127.0.0.1","matvec_tiled_dot_kernel(const double *, double *, const bool *, int, int, int, int, double, double, double, double, double *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","Occupancy","Block Limit Shared Mem","block","3.00","3.00","3.00"
"92899","test_paper_bench","127.0.0.1","matvec_tiled_dot_kernel(const double *, double *, const bool *, int, int, int, int, double, double, double, double, double *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","Occupancy","Block Limit Warps","block","3.00","3.00","3.00"
"92899","test_paper_bench","127.0.0.1","matvec_tiled_dot_kernel(const double *, double *, const bool *, int, int, int, int, double, double, double, double, double *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","Occupancy","Theoretical Active Warps per SM","warp","48.00","48.00","48.00"
"92899","test_paper_bench","127.0.0.1","matvec_tiled_dot_kernel(const double *, double *, const bool *, int, int, int, int, double, double, double, double, double *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","Occupancy","Theoretical Occupancy","%","100.00","100.00","100.00"
"92899","test_paper_bench","127.0.0.1","matvec_tiled_dot_kernel(const double *, double *, const bool *, int, int, int, int, double, double, double, double, double *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","Occupancy","Achieved Occupancy","%","52.32","52.40","52.36"
"92899","test_paper_bench","127.0.0.1","matvec_tiled_dot_kernel(const double *, double *, const bool *, int, int, int, int, double, double, double, double, double *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","Occupancy","Achieved Active Warps Per SM","warp","25.12","25.15","25.13"
"92899","test_paper_bench","127.0.0.1","prolong_rbgs_aggregated_kernel(double *, const double *, const double *, const bool *, int, int, int, int, double, double, double, double, int, int)","(8, 8, 8)","(2, 1, 1)","0","8.6","2","GPU Speed Of Light Throughput","DRAM Frequency","cycle/nsecond","9.27","9.29","9.28"
"92899","test_paper_bench","127.0.0.1","prolong_rbgs_aggregated_kernel(double *, const double *, const double *, const bool *, int, int, int, int, double, double, double, double, int, int)","(8, 8, 8)","(2, 1, 1)","0","8.6","2","GPU Speed Of Light Throughput","SM Frequency","cycle/nsecond","1.36","1.36","1.36"
"92899","test_paper_bench","127.0.0.1","prolong_rbgs_aggregated_kernel(double *, const double *, const double *, const bool *, int, int, int, int, double, double, double, double, int, int)","(8, 8, 8)","(2, 1, 1)","0","8.6","2","GPU Speed Of Light Throughput","Elapsed Cycles","cycle","20,132.00","20,165.00","20,148.50"
"92899","test_paper_bench","127.0.0.1","prolong_rbgs_aggregated_kernel(double *, const double *, const double *, const bool *, int, int, int, int, double, double, double, double, int, int)","(8, 8, 8)","(2, 1, 1)","0","8.6","2","GPU Speed Of Light Throughput","Memory Throughput","%","0.38","0.38","0.38"
"92899","test_paper_bench","127.0.0.1","prolong_rbgs_aggregated_kernel(double *, const double *, const double *, const bool *, int, int, int, int, double, double, double, double, int, int)","(8, 8, 8)","(2, 1, 1)","0","8.6","2","GPU Speed Of Light Throughput","DRAM Throughput","%","0.17","0.17","0.17"
"92899","test_paper_bench","127.0.0.1","prolong_rbgs_aggregated_kernel(double *, const double *, const double *, const bool *, int, int, int, int, double, double, double, double, int, int)","(8, 8, 8)","(2, 1, 1)","0","8.6","2","GPU Speed Of Light Throughput","Duration","usecond","14.75","14.82","14.78"
"92899","test_paper_bench","127.0.0.1","prolong_rbgs_aggregated_kernel(double *, const double *, const double *, const bool *, int, int, int, int, double, double, double, double, int, int)","(8, 8, 8)","(2, 1, 1)","0","8.6","2","GPU Speed Of Light Throughput","L1/TEX Cache Throughput","%","11.26","11.28","11.27"
"92899","test_paper_bench","127.0.0.1","prolong_rbgs_aggregated_kernel(double *, const double *, const double *, const bool *, int, int, int, int, double, double, double, double, int, int)","(8, 8, 8)","(2, 1, 1)","0","8.6","2","GPU Speed Of Light Throughput","L2 Cache Throughput","%","0.38","0.38","0.38"
"92899","test_paper_bench","127.0.0.1","prolong_rbgs_aggregated_kernel(double *, const double *, const double *, const bool *, int, int, int, int, double, double, double, double, int, int)","(8, 8, 8)","(2, 1, 1)","0","8.6","2","GPU Speed Of Light Throughput","SM Active Cycles","cycle","444.43","445.57","445.00"
"92899","test_paper_bench","127.0.0.1","prolong_rbgs_aggregated_kernel(double *, const double *, const double *, const bool *, int, int, int, int, double, double, double, double, int, int)","(8, 8, 8)","(2, 1, 1)","0","8.6","2","GPU Speed Of Light Throughput","Compute (SM) Throughput","%","1.55","1.55","1.55"
"92899","test_paper_bench","127.0.0.1","prolong_rbgs_aggregated_kernel(double *, const double *, const double *, const bool *, int, int, int, int, double, double, double, double, int, int)","(8, 8, 8)","(2, 1, 1)","0","8.6","2","Launch Statistics","Block Size","","512.00","512.00","512.00"
"92899","test_paper_bench","127.0.0.1","prolong_rbgs_aggregated_kernel(double *, const double *, const double *, const bool *, int, int, int, int, double, double, double, double, int, int)","(8, 8, 8)","(2, 1, 1)","0","8.6","2","Launch Statistics","Grid Size","","2.00","2.00","2.00"
"92899","test_paper_bench","127.0.0.1","prolong_rbgs_aggregated_kernel(double *, const double *, const double *, const bool *, int, int, int, int, double, double, double, double, int, int)","(8, 8, 8)","(2, 1, 1)","0","8.6","2","Launch Statistics","Registers Per Thread","register/thread","38.00","38.00","38.00"
