"Process ID","Process Name","Host Name","Kernel Name","Block Size","Grid Size","Device","CC","Invocations","Section Name","Metric Name","Metric Unit","Minimum","Maximum","Average"
"105169","test_paper_bench","127.0.0.1","matvec_tiled_dot_kernel(const double *, double *, const bool *, int, int, int, int, double, double, double, double, double *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","GPU Speed Of Light Throughput","SM Frequency","cycle/nsecond","1.33","1.36","1.34"
"105169","test_paper_bench","127.0.0.1","matvec_tiled_dot_kernel(const double *, double *, const bool *, int, int, int, int, double, double, double, double, double *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","GPU Speed Of Light Throughput","Elapsed Cycles","cycle","17,052.00","17,116.00","17,084.00"
"105169","test_paper_bench","127.0.0.1","matvec_tiled_dot_kernel(const double *, double *, const bool *, int, int, int, int, double, double, double, double, double *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","GPU Speed Of Light Throughput","Memory Throughput","%","20.27","20.34","20.30"
"105169","test_paper_bench","127.0.0.1","matvec_tiled_dot_kernel(const double *, double *, const bool *, int, int, int, int, double, double, double, double, double *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","GPU Speed Of Light Throughput","DRAM Throughput","%","5.40","5.41","5.41"
"105169","test_paper_bench","127.0.0.1","matvec_tiled_dot_kernel(const double *, double *, const bool *, int, int, int, int, double, double, double, double, double *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","GPU Speed Of Light Throughput","Duration","usecond","12.61","12.80","12.70"
"105169","test_paper_bench","127.0.0.1","matvec_tiled_dot_kernel(const double *, double *, const bool *, int, int, int, int, double, double, double, double, double *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","GPU Speed Of Light Throughput","L1/TEX Cache Throughput","%","27.54","27.58","27.56"
"105169","test_paper_bench","127.0.0.1","matvec_tiled_dot_kernel(const double *, double *, const bool *, int, int, int, int, double, double, double, double, double *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","GPU Speed Of Light Throughput","L2 Cache Throughput","%","9.37","9.41","9.39"
"105169","test_paper_bench","127.0.0.1","matvec_tiled_dot_kernel(const double *, double *, const bool *, int, int, int, int, double, double, double, double, double *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","GPU Speed Of Light Throughput","SM Active Cycles","cycle","12,566.60","12,583.98","12,575.29"
"105169","test_paper_bench","127.0.0.1","matvec_tiled_dot_kernel(const double *, double *, const bool *, int, int, int, int, double, double, double, double, double *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","GPU Speed Of Light Throughput","Compute (SM) Throughput","%","39.74","39.87","39.80"
"105169","test_paper_bench","127.0.0.1","matvec_tiled_dot_kernel(const double *, double *, const bool *, int, int, int, int, double, double, double, double, double *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","Launch Statistics","Block Size","","512.00","512.00","512.00"
"105169","test_paper_bench","127.0.0.1","matvec_tiled_dot_kernel(const double *, double *, const bool *, int, int, int, int, double, double, double, double, double *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","Launch Statistics","Grid Size","","128.00","128.00","128.00"
"105169","test_paper_bench","127.0.0.1","matvec_tiled_dot_kernel(const double *, double *, const bool *, int, int, int, int, double, double, double, double, double *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","Launch Statistics","Registers Per Thread","register/thread","31.00","31.00","31.00"
"105169","test_paper_bench","127.0.0.1","matvec_tiled_dot_kernel(const double *, double *, const bool *, int, int, int, int, double, double, double, double, double *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","Launch Statistics","Shared Memory Configuration Size","Kbyte","65.54","65.54","65.54"
"105169","test_paper_bench","127.0.0.1","matvec_tiled_dot_kernel(const double *, double *, const bool *, int, int, int, int, double, double, double, double, double *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","Launch Statistics","Driver Shared Memory Per Block","Kbyte/block","1.02","1.02","1.02"
"105169","test_paper_bench","127.0.0.1","matvec_tiled_dot_kernel(const double *, double *, const bool *, int, int, int, int, double, double, double, double, double *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","Launch Statistics","Dynamic Shared Memory Per Block","byte/block","0.00","0.00","0.00"
"105169","test_paper_bench","127.0.0.1","matvec_tiled_dot_kernel(const double *, double *, const bool *, int, int, int, int, double, double, double, double, double *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","Launch Statistics","Static Shared Memory Per Block","Kbyte/block","17.00","17.00","17.00"
"105169","test_paper_bench","127.0.0.1","matvec_tiled_dot_kernel(const double *, double *, const bool *, int, int, int, int, double, double, double, double, double *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","Launch Statistics","Threads","thread","65,536.00","65,536.00","65,536.00"
"105169","test_paper_bench","127.0.0.1","matvec_tiled_dot_kernel(const double *, double *, const bool *, int, int, int, int, double, double, double, double, double *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","Launch Statistics","Waves Per SM","","0.52","0.52","0.52"
"105169","test_paper_bench","127.0.0.1","matvec_tiled_dot_kernel(const double *, double *, const bool *, int, int, int, int, double, double, double, double, double *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","Occupancy","Block Limit SM","block","16.00","16.00","16.00"
"105169","test_paper_bench","127.0.0.1","matvec_tiled_dot_kernel(const double *, double *, const bool *, int, int, int, int, double, double, double, double, double *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","Occupancy","Block Limit Registers","block","4.00","4.00","4.00"
"105169","test_paper_bench","127.0.0.1","matvec_tiled_dot_kernel(const double *, double *, const bool *, int, int, int, int, double, double, double, double, double *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","Occupancy","Block Limit Shared Mem","block","3.00","3.00","3.00"
"105169","test_paper_bench","127.0.0.1","matvec_tiled_dot_kernel(const double *, double *, const bool *, int, int, int, int, double, double, double, double, double *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","Occupancy","Block Limit Warps","block","3.00","3.00","3.00"
"105169","test_paper_bench","127.0.0.1","matvec_tiled_dot_kernel(const double *, double *, const bool *, int, int, int, int, double, double, double, double, double *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","Occupancy","Theoretical Active Warps per SM","warp","48.00","48.00","48.00"
"105169","test_paper_bench","127.0.0.1","matvec_tiled_dot_kernel(const double *, double *, const bool *, int, int, int, int, double, double, double, double, double *)","(8, 8, 8)","(8, 4, 4)","0","8.6","2","Occupancy","Theoretical Occupancy","%","100.00","100.00","100.00"
